Year,Country_Name,EU28_CO2_emissions
2018,France,356.27186
2018,Croatia,18.32313
2018,Italy,368.10522
2018,Cyprus,9.24243
2018,Latvia,8.45818
2018,Lithuania,14.71037
2018,Luxembourg,11.40668
2018,Hungary,50.2489
2018,Malta,9.17084
2018,Netherlands,207.45889
2018,Austria,69.13481
2018,Poland,340.82163
2018,Portugal,58.40563
2018,Romania,81.14236
2018,Slovenia,15.32206
2018,Slovakia,36.27801
2018,Finland,49.30356
2018,Sweden,50.52879
2018,United Kingdom,426.17191
2019,Belgium,131.66707
2019,Bulgaria,43.18455
2019,Czechia,102.73686
2019,Denmark,36.48748
2019,Germany,744.5298
2019,Estonia,13.13506
2019,Ireland,41.03243
2019,Greece,77.97481
2019,Spain,293.40598
2019,France,350.42869
2019,Croatia,18.46261
2019,Italy,358.63293
2019,Cyprus,9.25786
2019,Latvia,9.06233
2019,Lithuania,14.90916
2019,Luxembourg,11.55035
2019,Hungary,49.93026
2019,Malta,9.46112
2019,Netherlands,203.47719
2019,Austria,70.91453
2019,Poland,323.58178
2019,Portugal,55.22151
2019,Romania,77.50605
2019,Slovenia,14.69633
2019,Slovakia,34.02015
2019,Finland,46.21961
2019,Sweden,50.43809
2019,United Kingdom,413.17778
